Country,ISO3,Year,Female Literacy,Female Secondary Completion,Maternal Mortality,Skilled Birth Attendance,Infant Mortality,Under5 Mortality,GDP per Capita,Health Expenditure,Group
Other small states,OSS,2022,83.9100036621094,68.0428237915039,116.0,,25.903903002656,30.2201997769141,14326.3081658507,1117.93956877042,Other
Philippines,PHL,2022,97.0,99.249280726358,92.0,,22.4,27.5,3548.06930572116,182.93432617,Other
Pre-demographic dividend,PRE,2022,59.6800003051758,,472.0,,51.70133633076,79.7149340894285,1769.1914721872,68.6305046490946,Other
Rwanda,RWA,2022,76.6999969482422,42.2067940769585,234.0,,30.5,39.7,1007.05989322914,57.83102036,Other
San Marino,SMR,2022,99.9300003051758,92.7835051546392,22.0,,1.3,1.4,54264.5837022908,3874.98535156,Other
Serbia,SRB,2022,99.0999984741211,97.6883163452148,14.0,,4.6,5.4,10024.8191112596,843.57733154,Other
Small states,SST,2022,85.8899993896484,70.9410705566406,102.0,,22.9700556480149,26.8196916083767,13644.5029834497,953.147727709784,Other
"Somalia, Fed. Rep.",SOM,2022,43.9000015258789,,622.0,,89.2,143.1,573.141165798229,16.31684875,Other
South Asia,SAS,2022,69.9000015258789,91.4454116821289,130.0,,25.2,29.3,2326.72890585805,79.9919658936364,Other
South Asia (IDA & IBRD),TSA,2022,69.9000015258789,91.4454116821289,95.0,,25.2523801257881,29.3184600470079,2326.72890585805,79.9919658936364,Other
Sri Lanka,LKA,2022,91.7600021362305,96.3678244958303,22.0,,5.5,6.3,3342.63650438046,130.09327698,South Asia
Sub-Saharan Africa,SSF,2022,61.9000015258789,42.7926216125488,455.0,,50.8,78.3,1864.70686111925,84.9402456642482,Other
Sub-Saharan Africa (IDA & IBRD countries),TSS,2022,61.9000015258789,42.7926216125488,434.0,,50.7611487561002,77.9064871983318,1864.70686111924,84.9402456642481,Other
Sub-Saharan Africa (excluding high income),SSA,2022,61.8899993896484,42.7895088195801,434.0,,50.7627321291086,77.9091743780286,1863.26040059117,84.8794895814932,Other
Tanzania,TZA,2022,73.129997253418,,152.0,,30.9,40.1,1207.52062988281,35.93323135,Other
Thailand,THA,2022,91.4899978637695,99.529943886569,112.0,,8.2,9.5,6910.00995211206,369.97647095,Other
Timor-Leste,TLS,2022,65.7200012207031,,235.0,,36.7,50.7,2343.24955542816,174.91529846,Other
Togo,TGO,2022,63.6599998474121,58.3731570920183,362.0,,37.0,60.0,1071.61539220759,55.79545593,Other
Trinidad and Tobago,TTO,2022,93.8300018310547,,30.0,,18.0,19.9,20750.5202434652,1266.28820801,Other
Turkmenistan,TKM,2022,99.9000015258789,,5.0,,32.0,41.1,5198.18947409551,579.15454102,Other
Tuvalu,TUV,2022,100.0,96.6292134831461,220.0,,17.6,20.5,5414.74642912412,1300.46679688,Other
United Arab Emirates,ARE,2022,97.5800018310547,106.313962535161,2.0,,4.2,5.3,50759.7590190204,2240.9050293,Other
Uruguay,URY,2022,99.0899963378906,95.9360512976041,20.0,,6.1,7.3,21009.2883798725,1850.80737305,Other
Uzbekistan,UZB,2022,100.0,97.0301346795019,27.0,99.0,13.5,14.1,2698.60262953369,170.64073181,Other
Viet Nam,VNM,2022,95.0800018310547,91.4005841827646,49.0,,12.9,18.4,4147.69777213621,188.22650146,Other
West Bank and Gaza,PSE,2022,96.7200012207031,94.6207135434707,17.0,,12.3,14.1,3799.95527015163,350.63812256,Other
World,WLD,2022,84.120002746582,77.9110107421875,203.0,,29.3,40.0,12876.2377124072,1266.20700430915,Other
Zambia,ZMB,2022,74.2369830427259,,89.0,,35.4,49.5,1447.12310138035,75.40128326,Other
