,Female Literacy,Maternal Mortality,Infant Mortality,GDP per Capita,Health Expenditure
Female Literacy,1.0,-0.7883170541090648,-0.8565462757143011,0.45735056384216205,0.3348810134886633
Maternal Mortality,-0.7883170541090648,1.0,0.8651546899363148,-0.3989498743616411,-0.2703082194095104
Infant Mortality,-0.8565462757143011,0.8651546899363148,1.0,-0.4886731660411504,-0.3464496428261981
GDP per Capita,0.45735056384216205,-0.3989498743616411,-0.4886731660411504,1.0,0.8766056088712328
Health Expenditure,0.3348810134886633,-0.2703082194095104,-0.3464496428261981,0.8766056088712328,1.0
